time,open,high,low,close
2403475200,-0.59,-0.59,-0.59,-0.59
2406153600,-0.39,-0.39,-0.39,-0.39
2408745600,-0.31,-0.31,-0.31,-0.31
2411424000,-0.3,-0.3,-0.3,-0.3
2414016000,-0.27,-0.27,-0.27,-0.27
2416694400,-0.32,-0.32,-0.32,-0.32
2419372800,-0.35,-0.35,-0.35,-0.35
2421964800,-0.4,-0.4,-0.4,-0.4
2424643200,-0.45,-0.45,-0.45,-0.45
2427235200,-0.49,-0.49,-0.49,-0.49
2429913600,-0.5,-0.5,-0.5,-0.5
2432592000,-0.36,-0.36,-0.36,-0.36
2435011200,-0.1,-0.1,-0.1,-0.1
2437689600,0.28,0.28,0.28,0.28
2440281600,0.75,0.75,0.75,0.75
2442960000,1.22,1.22,1.22,1.22
2445552000,1.6,1.6,1.6,1.6
2448230400,1.9,1.9,1.9,1.9
2450908800,2.14,2.14,2.14,2.14
2453500800,2.33,2.33,2.33,2.33
2456179200,2.4,2.4,2.4,2.4
2458771200,2.39,2.39,2.39,2.39
2461449600,2.24,2.24,2.24,2.24
2464128000,1.93,1.93,1.93,1.93
2466633600,1.44,1.44,1.44,1.44
2469312000,0.99,0.99,0.99,0.99
2471904000,0.45,0.45,0.45,0.45
2474582400,-0.13,-0.13,-0.13,-0.13
2477174400,-0.78,-0.78,-0.78,-0.78
2479852800,-1.12,-1.12,-1.12,-1.12
2482531200,-1.31,-1.31,-1.31,-1.31
2485123200,-1.35,-1.35,-1.35,-1.35
2487801600,-1.48,-1.48,-1.48,-1.48
2490393600,-1.57,-1.57,-1.57,-1.57
2493072000,-1.55,-1.55,-1.55,-1.55
2495750400,-1.3,-1.3,-1.3,-1.3
2498169600,-1.07,-1.07,-1.07,-1.07
2500848000,-0.98,-0.98,-0.98,-0.98
2503440000,-1.02,-1.02,-1.02,-1.02
2506118400,-1.04,-1.04,-1.04,-1.04
2508710400,-1.1,-1.1,-1.1,-1.1
2511388800,-1.11,-1.11,-1.11,-1.11
2514067200,-1.16,-1.16,-1.16,-1.16
2516659200,-1.26,-1.26,-1.26,-1.26
2519337600,-1.46,-1.46,-1.46,-1.46
2521929600,-1.65,-1.65,-1.65,-1.65
2524608000,-1.66,-1.66,-1.66,-1.66
2527286400,-1.41,-1.41,-1.41,-1.41
